Date,Open,High,Low,Close,Adj Close,Range,daily_delta,percentage_delta,Volume,Event,Category
2/27/2020,1545.25,1553.97998,1495.890015,1497.869995,1497.869995,58.089965,-54.890015,-3.534996693,7064710000,1,2
2/28/2020,1496.829956,1496.829956,1448.209961,1476.430054,1476.430054,48.619995,-21.439941,-1.431361939,8569570000,1,0
3/2/2020,1476.589966,1518.51001,1463.060059,1518.48999,1518.48999,55.449951,42.059936,2.848759133,6381330000,1,1
3/3/2020,1518.52002,1539.73999,1472.73999,1486.079956,1486.079956,67,-32.410034,-2.134359411,6376510000,1,2
3/4/2020,1500.150024,1531.199951,1494.579956,1531.199951,1531.199951,36.619995,45.119995,3.036175464,5073020000,1,1
3/5/2020,1522.849976,1522.849976,1462.920044,1478.819946,1478.819946,59.929932,-52.380005,-3.420846831,5579290000,1,2
3/6/2020,1476.630005,1476.630005,1417.27002,1449.219971,1449.219971,59.359985,-29.599975,-2.00159425,6555240000,1,2
3/9/2020,1396.23999,1396.23999,1310.76001,1313.439941,1313.439941,85.47998,-135.78003,-9.36918016,8441290000,1,2
3/10/2020,1329.880005,1351.47998,1288.930054,1350.900024,1350.900024,62.549926,37.460083,2.852059073,7642040000,1,1
3/11/2020,1349.23999,1349.23999,1249.280029,1264.300049,1264.300049,99.959961,-86.599975,-6.410539156,7431200000,1,2
3/12/2020,1253.869995,1253.869995,1121.719971,1122.930054,1122.930054,132.150024,-141.369995,-11.18168073,8850810000,1,2
3/13/2020,1153.76001,1210.130005,1109.390015,1210.130005,1210.130005,100.73999,87.199951,7.765394709,8299070000,1,1
3/16/2020,1174.969971,1174.969971,1035.189941,1037.420044,1037.420044,139.78003,-172.709961,-14.27201708,7805450000,1,2
3/17/2020,1043.869995,1106.680054,1011.950012,1106.51001,1106.51001,94.730042,69.089966,6.659787075,8370250000,1,1
3/18/2020,1057.650024,1062.880005,966.219971,991.159973,991.159973,96.660034,-115.350037,-10.4246718,8799300000,1,2
3/19/2020,988.710022,1069.150024,968.859985,1058.75,1058.75,100.290039,67.590027,6.819285367,7956100000,1,1
3/20/2020,1064.719971,1087.719971,1009.530029,1013.890015,1013.890015,78.189942,-44.859985,-4.237070602,9053950000,1,2
3/23/2020,1014.080017,1017.890015,966.419983,1002.400024,1002.400024,51.470032,-11.489991,-1.133258128,7411380000,1,0
3/24/2020,1041.069946,1096.540039,1041.069946,1096.540039,1096.540039,55.470093,94.140015,9.391461766,7563150000,1,1
3/25/2020,1100.140015,1146.810059,1075.849976,1110.369995,1110.369995,70.960083,13.829956,1.261235843,8300010000,1,0
3/26/2020,1116.300049,1180.319946,1116.300049,1180.319946,1180.319946,64.019897,69.949951,6.299697517,7766990000,0,1
3/27/2020,1163.920044,1163.920044,1125.680054,1131.98999,1131.98999,38.23999,-48.329956,-4.094648757,6201670000,0,2
3/30/2020,1134.140015,1158.640015,1119.949951,1158.319946,1158.319946,38.690064,26.329956,2.325988413,5751120000,0,1
3/31/2020,1155.680054,1164.630005,1130.339966,1153.099976,1153.099976,34.290039,-5.21997,-0.4506501,6576210000,0,0
4/1/2020,1127.72998,1127.72998,1064.599976,1071.98999,1071.98999,63.130004,-81.109986,-7.034080972,5964000000,0,2
4/2/2020,1071.459961,1102.359985,1055.599976,1085.810059,1085.810059,46.760009,13.820069,1.289197579,6464190000,0,0
4/3/2020,1082.900024,1082.900024,1035.390015,1052.050049,1052.050049,47.510009,-33.76001,-3.109200336,6096970000,0,2
4/6/2020,1085.880005,1139.930054,1085.880005,1138.780029,1138.780029,54.050049,86.72998,8.243902472,6403840000,0,1
4/7/2020,1158.170044,1190.97998,1133.550049,1139.170044,1139.170044,57.429931,0.390015,0.034248493,7050410000,0,0
4/8/2020,1151.01001,1197.170044,1147.26001,1191.660034,1191.660034,49.910034,52.48999,4.607739668,5875710000,0,1
4/9/2020,1212.660034,1250.130005,1212.660034,1246.72998,1246.72998,37.469971,55.069946,4.621279931,7899550000,0,1
4/10/2020,1212.660034,1250.130005,1212.660034,1246.72998,1246.72998,37.469971,55.069946,4.621279931,7899550000,0,1
4/13/2020,1240.910034,1240.939941,1200.920044,1212.040039,1212.040039,40.019897,-34.689941,-2.782474277,5319530000,0,2
4/14/2020,1232.319946,1251.880005,1224.150024,1237.329956,1237.329956,27.729981,25.289917,2.086557885,5615730000,0,1
4/15/2020,1221.709961,1221.709961,1176.030029,1183.97998,1183.97998,45.679932,-53.349976,-4.31170164,5208000000,0,2
4/16/2020,1185.099976,1187.839966,1154.52002,1178.089966,1178.089966,33.319946,-5.890014,-0.49747581,5228810000,0,0
4/17/2020,1191.849976,1231.930054,1191.849976,1229.099976,1229.099976,40.080078,51.01001,4.32989088,5804810000,0,1
4/20/2020,1220.630005,1233.859985,1202.219971,1213.349976,1213.349976,31.640014,-15.75,-1.281425458,5228630000,0,0
4/21/2020,1192.219971,1195.880005,1173.910034,1185.089966,1185.089966,21.969971,-28.26001,-2.329089756,5121010000,0,2
4/22/2020,1203.01001,1213.339966,1196.540039,1201.52002,1201.52002,16.799927,16.430054,1.386397191,5084920000,0,0
4/23/2020,1203.660034,1232.589966,1203.660034,1214.060059,1214.060059,28.929932,12.540039,1.043681236,5773530000,1,0
4/24/2020,1216.680054,1238.310059,1210.619995,1233.050049,1233.050049,27.690064,18.98999,1.564172205,5382810000,1,0
4/27/2020,1243.469971,1289.180054,1243.469971,1281.880005,1281.880005,45.710083,48.829956,3.960095216,5203930000,1,1
4/28/2020,1301.219971,1316.709961,1282.77002,1298.079956,1298.079956,33.939941,16.199951,1.263765012,5691160000,1,0
4/29/2020,1314.040039,1373.390015,1314.040039,1360.76001,1360.76001,59.349976,62.680054,4.828674359,6645640000,1,1
4/30/2020,1354.800049,1354.800049,1310.449951,1310.660034,1310.660034,44.350098,-50.099976,-3.681764281,6544980000,1,2
5/1/2020,1280.579956,1281.079956,1241.910034,1260.47998,1260.47998,39.169922,-50.180054,-3.828609456,4759810000,1,2
5/4/2020,1254.880005,1263.969971,1234.01001,1263.969971,1263.969971,29.959961,3.489991,0.27687794,4735930000,1,0
5/5/2020,1271.219971,1302.449951,1269.98999,1273.51001,1273.51001,32.459961,9.540039,0.754767852,5140290000,0,0
5/6/2020,1278.900024,1284.920044,1262.560059,1263.01001,1263.01001,22.359985,-10.5,-0.82449293,4892570000,0,0
5/7/2020,1268.349976,1290.920044,1268.349976,1282.930054,1282.930054,22.570068,19.920044,1.577188133,5178790000,0,0
5/8/2020,1294.280029,1330.109985,1294.280029,1329.640015,1329.640015,35.829956,46.709961,3.640881345,4876030000,0,1
5/11/2020,1320.369995,1333.849976,1303.530029,1321.23999,1321.23999,30.319947,-8.400025,-0.63175182,4819730000,0,0
5/12/2020,1322.670044,1326.890015,1275.540039,1275.540039,1275.540039,51.349976,-45.699951,-3.458868286,5119630000,0,2
5/13/2020,1272.900024,1272.900024,1212.75,1233.25,1233.25,60.150024,-42.290039,-3.315461507,6151650000,0,2
5/14/2020,1226.660034,1237.560059,1181.089966,1237.550049,1237.550049,56.470093,4.300049,0.348676181,5651130000,0,0
5/15/2020,1236.25,1259.280029,1225.550049,1256.98999,1256.98999,33.72998,19.439941,1.570840793,5507700000,0,0
5/18/2020,1290.900024,1338.349976,1290.900024,1333.689941,1333.689941,47.449952,76.699951,6.101874447,6373670000,0,1
5/19/2020,1330.27002,1339.119995,1307.27002,1307.719971,1307.719971,31.849975,-25.96997,-1.947226953,4984330000,0,0
5/20/2020,1322.780029,1353.380005,1322.780029,1346.930054,1346.930054,30.599976,39.210083,2.998354684,5005380000,0,1
5/21/2020,1345.719971,1354.650024,1333.98999,1347.560059,1347.560059,20.660034,0.630005,0.046773401,4976620000,0,0
5/22/2020,1349.400024,1355.77002,1338.130005,1355.530029,1355.530029,17.640015,7.96997,0.59143709,3970860000,0,0
5/25/2020,1349.400024,1355.77002,1338.130005,1355.530029,1355.530029,17.640015,7.96997,0.59143709,3970860000,0,0
5/26/2020,1361.160034,1406.77002,1361.160034,1393.069946,1393.069946,45.609986,37.539917,2.76939029,5848500000,0,1
5/27/2020,1398.5,1438.959961,1382.030029,1436.359985,1436.359985,56.929932,43.290039,3.107528026,6398000000,0,1
5/28/2020,1437.839966,1450.369995,1396.949951,1400.670044,1400.670044,53.420044,-35.689941,-2.484749044,5447020000,0,2
5/29/2020,1399.050049,1399.050049,1372.709961,1394.040039,1394.040039,26.340088,-6.630005,-0.473345241,7297550000,0,0
6/1/2020,1396.290039,1419.939941,1395.51001,1405.369995,1405.369995,24.429931,11.329956,0.81274251,4684170000,0,0
6/2/2020,1409.160034,1421.119995,1403.689941,1418.209961,1418.209961,17.430054,12.839966,0.913635985,5197150000,0,0
6/3/2020,1425.369995,1463.550049,1425.369995,1452.089966,1452.089966,38.180054,33.880005,2.388927305,6005560000,0,1
6/4/2020,1450.160034,1460.089966,1439.109985,1452.060059,1452.060059,20.979981,-0.029907,-0.002059583,6451290000,1,0
6/5/2020,1460.180054,1525.560059,1460.180054,1507.150024,1507.150024,65.380005,55.089965,3.793917797,8639300000,1,1
6/8/2020,1510.589966,1537.619995,1510.589966,1536.890015,1536.890015,27.030029,29.739991,1.973260162,8498300000,1,0
6/9/2020,1533.030029,1533.030029,1496.689941,1507.050049,1507.050049,36.340088,-29.839966,-1.941581096,6410930000,1,0
6/10/2020,1506.939941,1506.939941,1465.939941,1467.390015,1467.390015,41,-39.660034,-2.631633503,6598870000,1,2
6/11/2020,1458.339966,1458.339966,1355.319946,1356.219971,1356.219971,103.02002,-111.170044,-7.576039285,7037320000,1,2
6/12/2020,1366.959961,1412.910034,1349.390015,1387.680054,1387.680054,63.520019,31.460083,2.319688817,5845330000,1,1
6/15/2020,1381.410034,1425.839966,1343.599976,1419.609985,1419.609985,82.23999,31.929931,2.300957696,5757480000,1,1
6/16/2020,1432.349976,1473.75,1427.839966,1452.26001,1452.26001,45.910034,32.650025,2.29992923,5845810000,0,1
6/17/2020,1453.329956,1456.76001,1424.589966,1426.530029,1426.530029,32.170044,-25.729981,-1.771719997,4560450000,0,0
6/18/2020,1424.719971,1439.73999,1412.27002,1427.329956,1427.329956,27.46997,0.799927,0.05607502,4448690000,0,0
6/19/2020,1430.650024,1443.800049,1409.469971,1418.630005,1418.630005,34.330078,-8.699951,-0.609526267,8346650000,0,0
6/22/2020,1417.670044,1433.530029,1400.97998,1433.530029,1433.530029,32.550049,14.900024,1.050310789,4686690000,0,0
6/23/2020,1436.459961,1454.119995,1436.459961,1439.339966,1439.339966,17.660034,5.809937,0.405288824,4711850000,0,0
